tweet_id,is_flood_related,confidence,flood_severity,location_mentioned,zone_detected,flood_type,urgency_level,needs_rescue,original_text
7404468956360083034,True,0.9,severe,Pallabi,mirpur,drainage_failure,high,False,Dangerous situation in Pallabi. Drainage system failed completely. Water rose 4 feet in 30 minutes!
7404468956360083720,True,0.8,moderate,Adabor,mohammadpur,unknown,medium,False,Adabor area flood situation worsening. Local market underwater. Shop owners moving goods.
7404468956360081975,True,0.95,critical,Mirpur-2,mirpur,unknown,critical,True,HELP! Family trapped in Mirpur-2. Water entering 2nd floor. 4 people including baby. Call 01712XXXXXX
7404468956360082831,False,0.1,none,,dhanmondi,none,low,False,Dhanmondi lake er pashe ektu pani jomche. Not too bad though.
7404468956360085083,False,0.1,none,,,none,low,False,Eid shopping at New Market. So crowded!
7404468956360085063,True,0.85,severe,Badda,badda,unknown,high,True,Badda area is completely underwater. My house ground floor is flooded. Need rescue for my family NOW!
7404468956360085308,False,0.1,none,,,none,low,False,Eid shopping at New Market. So crowded!
7404468956360085183,True,0.7,moderate,কাজীপাড়া,mirpur,unknown,medium,False,কাজীপাড়ায় দ্রুত পানি জমছে। স্কুল তাড়াতাড়ি ছুটি দিয়েছে।
7404468956360082208,True,0.8,moderate,Gulshan,badda,unknown,medium,False,Gulshan area experiencing flooding after 2 hours of rain. Underground parking filling with water.
7404468956360081946,False,0.2,none,Badda,badda,waterlogging,low,False,Small puddles forming in Badda main road. Nothing serious yet but rain continuing.
7404468956360084340,True,0.9,minor,কাজীপাড়া,mirpur,waterlogging,low,False,কাজীপাড়ায় দ্রুত পানি জমছে। স্কুল তাড়াতাড়ি ছুটি দিয়েছে।
7404468956360081901,False,0.1,none,Gulshan,badda,none,low,False,Monsoon vibes in Gulshan. Love this weather! #DhakaRain
7404468956360083706,True,0.9,minor,কাজীপাড়া,mirpur,waterlogging,low,False,কাজীপাড়ায় দ্রুত পানি জমছে। স্কুল তাড়াতাড়ি ছুটি দিয়েছে।
7404468956360084358,False,0.1,none,Mirpur,mirpur,none,low,False,Stuck in traffic at Mirpur road. As usual! 🚗
7404468956360083396,True,0.95,critical,Mohammadpur,mohammadpur,flash_flood,critical,True,Mohammadpur e HEAVY flooding! Pani ghor e dhukche! Amra rooftop e trapped. Keu help korun please! 🆘
7404468956360082548,True,0.8,minor,Uttara sector 3,uttara,waterlogging,low,False,Light waterlogging in Uttara sector 3. Drainage working but slow.
7404468956360081854,False,0.1,none,Uttara,uttara,none,low,False,Metro rail construction causing road blocks in Uttara.
7404468956360084343,True,0.7,minor,মোহাম্মদপুর বাস স্ট্যান্ড,mohammadpur,waterlogging,low,False,মোহাম্মদপুর বাস স্ট্যান্ডে সামান্য পানি। বাস চলছে তবে ধীরে।
